date,ipc,ind_man,ind_com,ind_con,ind_ser,iae_np,ideac_ct,ideac_sb,base_mon,caja_bce,casa_osd,cuasidinero,dep_vista,din_elec,esp_mon_cir,liq_m2,mon_frac,mult_m1_bm,mult_m2_bm,ofer_m1,res_ban,agr_raw_mat,apsp_crude,coal,energy,fertil,food_bever,ind_materials,metal,natural_gas,non-fuel,precious_metals,wti_price,pib_nom_USDK,pib_real_USDK,loan_rate,deposit_rate,credit_priv_USDM,CPI_US,TNX,pos_divisas,oro_monetario,DEGs,pos_reserva_FMI,pos_ALADI,pos_sucre,res_internacional,ipp,ipcons
2011-02-01,87.16,207.2858581356712,142.35869401996817,111.82307147034135,144.38330722017264,146.31048244652743,130.673608,121.8137626,6838.020146,275.569924,662.95,11441.14,6130.64,,4327.387718,21980.93293,81.765212,1.541352,3.214517,10539.79293,1490.347292,187.205270850982,202.934664747106,187.408273127761,217.792255363816,169.554090603617,130.14434809177,221.182508826125,234.68768189901,177.989629813397,152.973340917163,117.429007864872,88.58,18712832.0,14736607.0,8.25,4.51,16653.89,221.898,3.5763157894736843,2659.73,1191.91,25.09,26.98,3.24,,3906.94,93.0,223.0
2011-03-01,87.45,206.95098004961883,141.70067802248747,111.56162719741397,143.91284276680287,145.88482668323144,132.3763694,132.8349236,7324.361597,429.763599,686.19,11848.84,6449.47,,4346.750043,22726.74011,81.680068,1.485167,3.102897,10877.90011,1779.977887,184.066538137559,223.068601148783,191.07165512919,235.767808464889,167.22839378354,129.373035254023,210.775330922911,221.391463682081,177.531941122637,150.703482497134,122.26700234601,102.86,18922955.0,14790364.0,8.65,4.59,16919.48,223.046,3.4143478260869564,2680.14,1215.56,25.29,27.19,-0.7,,3947.49,92.26,224.84
2011-04-01,88.17,207.13950243452518,142.25854701667035,112.41309911029377,145.98388779471654,146.86295478326466,134.1673333,132.3013192,7720.55221,575.644698,678.99,12376.5,6209.46,,4477.180944,23144.85751,81.716566,1.394765,2.997824,10768.35751,1907.020002,186.514216340026,236.046139381724,190.099858576682,252.56585520287,165.33173113455,133.291621079995,215.448584419237,226.949332330241,198.013699039464,154.983949847428,127.975836280026,109.53,19191341.333333332,14919156.333333334,8.34,4.6,17307.6,224.093,3.4549999999999996,2807.4,1297.08,25.85,27.8,6.71,,4164.84,92.1,225.54
2011-05-01,88.48,207.5917189919165,142.53227407644601,112.07141306473667,145.0765327260334,146.66374745032147,136.00986,135.9359112,7675.298442,712.007635,747.8,12438.89,6371.44,,4438.880007,23331.30354,82.09353,1.419152,3.039791,10892.41354,1694.51727,167.841136465072,219.71455780495,184.759740973628,240.750204520758,177.639668041922,130.480978626956,204.139877040463,218.567794170074,204.988708231411,151.094386558027,128.635238587723,100.9,19459727.666666668,15047948.666666666,8.34,4.6,17585.0,224.806,3.168571428571429,2528.03,1297.92,25.05,27.45,5.87,,3884.34,92.09,226.02
2011-06-01,88.51,210.44315777627693,144.07622499485862,111.98803619430022,146.26571989280083,147.78109685832462,137.8433433,136.3365949,7623.261188,506.384076,726.15,12631.44,6431.69,,4561.002566,23706.24679,82.114227,1.452765,3.109725,11074.80679,1747.610319,167.634356194381,214.773479387872,183.596463380291,237.887014599017,198.341041962008,128.323999727425,200.946644519996,214.187515353005,210.245341504518,150.022375928723,129.660218785699,96.26,19728114.0,15176741.0,8.37,4.58,17917.68,224.806,3.002272727272727,2534.21,1271.74,25.05,27.45,-16.96,,3841.48,92.3,227.72
2011-07-01,88.67,211.19423111497335,141.9800969740651,112.04863469956236,146.0948560731046,147.3899734949959,139.5931948,138.6518579,7721.724518,423.471649,710.48,12927.14,6535.23,,4662.684993,24207.51785,82.462857,1.460863,3.134989,11280.37785,1842.625019,161.744144486919,219.515751747776,182.271412007917,242.632046798832,206.169968913618,127.394708867728,202.722895987464,219.011010157619,217.897197208813,151.02699768429,133.524630375637,97.3,19808232.666666668,15254195.0,8.37,4.58,18196.43,225.395,3.003,2553.73,1375.64,25.07,27.47,-1.23,,3980.67,92.99,229.69
2011-08-01,89.1,213.71832257262884,144.61472448060834,113.25721328780979,145.89924244239054,148.86140140877643,141.2440172,136.764961,7861.912535,527.871038,749.08,13176.23,6583.85,,4665.185604,24508.02804,82.762439,1.441354,3.117311,11331.79804,1837.013454,152.963850674422,203.03223399698,182.623072003173,230.72674767183,209.454881121301,127.085107896455,196.135741680488,213.295578520293,218.596450443663,151.924189056629,147.277330318952,86.33,19888351.333333332,15331649.0,8.37,4.58,18574.34,226.106,2.3030434782608693,2533.82,1531.93,25.24,27.6,6.03,,4124.62,94.26,231.95
2011-09-01,89.8,213.2083178107038,145.26856538446478,112.61622471426833,146.68266282675532,148.87843962837965,142.7813918,139.83031,7885.34577,522.085117,703.9,13614.42,6408.5,,4742.939525,24848.70104,82.841513,1.424704,3.151251,11234.28104,1833.579615,149.955840647522,208.896428286519,182.793675646959,232.069165968714,212.449789449601,121.391794169956,190.250203982437,206.266289548247,216.762718407576,147.567180739504,147.247325904761,85.52,19968470.0,15409103.0,8.37,4.58,19104.38,226.597,1.975238095238095,2218.92,1368.48,23.87,26.78,-2.63,,3635.42,94.27,232.0
2011-10-01,90.12,213.38179908704333,143.09017836957875,112.92183772359613,145.64818034653197,148.25202598702316,144.216647,138.7762794,8034.786894,605.936485,799.21,13780.94,6417.28,,4792.115157,25073.74961,83.414454,1.40549,3.120649,11292.80961,1754.110798,142.20726638388,206.155358920142,177.133506601885,229.148719907104,205.485605549743,118.452069574908,171.249214562941,182.792723097064,219.250628924478,138.722384416185,136.463763451086,86.32,20198021.666666668,15455687.333333334,8.17,4.53,19425.33,226.75,2.152,3023.7,1454.64,24.24,45.24,0.77,,4548.59,93.25,231.94
2011-11-01,90.39,213.3915274567534,144.40290976360816,113.31492938840726,146.82081616304666,148.99814496900282,145.5675533,147.5598726,7971.901558,816.220783,773.84,13714.86,6383.74,,4777.218859,24958.6324,82.813536,1.410425,3.130825,11243.7724,1521.80838,132.144727342454,218.328282940188,168.935173737675,236.700400138051,203.914395664985,118.186990482764,162.939361527532,175.179522563869,215.851237556958,137.486378460168,142.31640240062,97.16,20427573.333333332,15502271.666666666,8.17,4.53,19786.86,227.169,2.0134999999999996,2544.52,1474.91,23.79,44.26,6.21,,4093.68,94.64,232.03
